Timestamp,Channel,Raw,SetupRaw,Diff,Deriv,IsPressed
1783510679.232568,20,2486,2485.23,0.77,1.00,0
1783510679.250337,20,2487,2485.23,1.77,1.00,0
1783510679.264590,20,2486,2485.23,0.77,-1.00,0
1783510679.281080,20,2487,2485.23,1.77,1.00,0
1783510679.297032,20,2481,2485.23,-4.23,-6.00,0
1783510679.312492,20,2484,2485.23,-1.23,3.00,0
1783510679.330092,20,2483,2485.23,-2.23,-1.00,0
1783510679.344991,20,2484,2485.23,-1.23,1.00,0
1783510679.360891,20,2481,2485.23,-4.23,-3.00,0
1783510679.377196,20,2488,2485.23,2.77,7.00,0
1783510679.393130,20,2486,2485.23,0.77,-2.00,0
1783510679.409583,20,2488,2485.23,2.77,2.00,0
1783510679.424628,20,2481,2485.23,-4.23,-7.00,0
1783510679.441026,20,2481,2485.23,-4.23,0.00,0
1783510679.456255,20,2486,2485.23,0.77,5.00,0
1783510679.472708,20,2487,2485.23,1.77,1.00,0
1783510679.489850,20,2485,2485.23,-0.23,-2.00,0
1783510679.504326,20,2483,2485.23,-2.23,-2.00,0
1783510679.520305,20,2483,2485.23,-2.23,0.00,0
1783510679.536429,20,2486,2485.23,0.77,3.00,0
1783510679.552909,20,2494,2485.23,8.77,8.00,0
1783510679.571719,20,2489,2485.23,3.77,-5.00,0
1783510679.584537,20,2492,2485.23,6.77,3.00,0
1783510679.600899,20,2491,2485.23,5.77,-1.00,0
1783510679.616857,20,2501,2485.23,15.77,10.00,0
1783510679.632930,20,2502,2485.23,16.77,1.00,0
1783510679.650673,20,2504,2485.23,18.77,2.00,0
1783510679.664563,20,2512,2485.23,26.77,8.00,0
1783510679.681144,20,2522,2485.23,36.77,10.00,0
1783510679.696292,20,2544,2485.23,58.77,22.00,0
1783510679.713746,20,2590,2485.23,104.77,46.00,0
1783510679.730192,20,2719,2485.23,233.77,129.00,0
1783510679.744836,20,2908,2485.23,422.77,189.00,0
1783510679.760815,20,2960,2485.23,474.77,52.00,0
1783510679.776309,20,2951,2485.23,465.77,-9.00,0
1783510679.798262,20,2932,2485.23,446.77,-19.00,0
1783510679.809958,20,2829,2485.23,343.77,-103.00,0
1783510679.824143,20,2687,2485.23,201.77,-142.00,0
1783510679.841012,20,2590,2485.23,104.77,-97.00,0
1783510679.857133,20,2535,2485.23,49.77,-55.00,0
1783510679.875604,20,2515,2485.23,29.77,-20.00,0
1783510679.888567,20,2505,2485.23,19.77,-10.00,0
1783510679.904538,20,2503,2485.23,17.77,-2.00,0
1783510679.920955,20,2496,2485.23,10.77,-7.00,0
1783510679.936525,20,2496,2485.23,10.77,0.00,0
1783510679.952934,20,2500,2485.23,14.77,4.00,0
1783510679.968509,20,2500,2485.23,14.77,0.00,0
1783510679.984894,20,2501,2485.23,15.77,1.00,0
1783510680.000855,20,2501,2485.23,15.77,0.00,0
1783510680.017019,20,2507,2485.23,21.77,6.00,0
1783510680.035821,20,2510,2485.23,24.77,3.00,0
1783510680.049107,20,2520,2485.23,34.77,10.00,0
1783510680.064926,20,2544,2485.23,58.77,24.00,0
1783510680.081068,20,2595,2485.23,109.77,51.00,0
1783510680.096587,20,2651,2485.23,165.77,56.00,0
1783510680.113604,20,2874,2485.23,388.77,223.00,0
1783510680.129188,20,2885,2485.23,399.77,11.00,0
1783510680.144651,20,2883,2485.23,397.77,-2.00,0
1783510680.160445,20,2827,2485.23,341.77,-56.00,0
1783510680.177107,20,2693,2485.23,207.77,-134.00,0
1783510680.195230,20,2631,2485.23,145.77,-62.00,0
1783510680.209187,20,2560,2485.23,74.77,-71.00,0
1783510680.224842,20,2529,2485.23,43.77,-31.00,0
1783510680.240299,20,2506,2485.23,20.77,-23.00,0
1783510680.256436,20,2497,2485.23,11.77,-9.00,0
1783510680.275030,20,2490,2485.23,4.77,-7.00,0
1783510680.288414,20,2486,2485.23,0.77,-4.00,0
1783510680.305401,20,2493,2485.23,7.77,7.00,0
1783510680.320325,20,2491,2485.23,5.77,-2.00,0
1783510680.336390,20,2488,2485.23,2.77,-3.00,0
1783510680.354957,20,2488,2485.23,2.77,0.00,0
1783510680.369198,20,2487,2485.23,1.77,-1.00,0
1783510680.385134,20,2484,2485.23,-1.23,-3.00,0
1783510680.400431,20,2486,2485.23,0.77,2.00,0
1783510680.417231,20,2489,2485.23,3.77,3.00,0
1783510680.433191,20,2484,2485.23,-1.23,-5.00,0
1783510680.448696,20,2486,2485.23,0.77,2.00,0
1783510680.465294,20,2487,2485.23,1.77,1.00,0
1783510680.481104,20,2488,2485.23,2.77,1.00,0
1783510680.497479,20,2488,2485.23,2.77,0.00,0
1783510680.513054,20,2487,2485.23,1.77,-1.00,0
1783510680.529042,20,2487,2485.23,1.77,0.00,0
1783510680.545073,20,2489,2485.23,3.77,2.00,0
1783510680.560558,20,2483,2485.23,-2.23,-6.00,0
1783510680.578130,20,2485,2485.23,-0.23,2.00,0
1783510680.596600,20,2482,2485.23,-3.23,-3.00,0
1783510680.610270,20,2486,2485.23,0.77,4.00,0
1783510680.625111,20,2487,2485.23,1.77,1.00,0
1783510680.640306,20,2482,2485.23,-3.23,-5.00,0
1783510680.660800,20,2483,2485.23,-2.23,1.00,0
1783510680.673277,20,2490,2485.23,4.77,7.00,0
1783510680.688160,20,2486,2485.23,0.77,-4.00,0
1783510680.705159,20,2486,2485.23,0.77,0.00,0
1783510680.720711,20,2486,2485.23,0.77,0.00,0
1783510680.739838,20,2489,2485.23,3.77,3.00,0
1783510680.753026,20,2490,2485.23,4.77,1.00,0
1783510680.769047,20,2487,2485.23,1.77,-3.00,0
1783510680.785078,20,2485,2485.23,-0.23,-2.00,0
1783510680.801123,20,2486,2485.23,0.77,1.00,0
1783510680.819000,20,2490,2485.23,4.77,4.00,0
1783510680.832302,20,2485,2485.23,-0.23,-5.00,0
1783510680.849078,20,2485,2485.23,-0.23,0.00,0
1783510680.865082,20,2487,2485.23,1.77,2.00,0
1783510680.880608,20,2489,2485.23,3.77,2.00,0
1783510680.897867,20,2485,2485.23,-0.23,-4.00,0
1783510680.913158,20,2488,2485.23,2.77,3.00,0
1783510680.929121,20,2486,2485.23,0.77,-2.00,0
1783510680.944660,20,2491,2485.23,5.77,5.00,0
1783510680.960279,20,2489,2485.23,3.77,-2.00,0
1783510680.976924,20,2487,2485.23,1.77,-2.00,0
1783510680.992182,20,2487,2485.23,1.77,0.00,0
1783510681.008624,20,2491,2485.23,5.77,4.00,0
1783510681.024482,20,2486,2485.23,0.77,-5.00,0
1783510681.040762,20,2488,2485.23,2.77,2.00,0
1783510681.060800,20,2489,2485.23,3.77,1.00,0
1783510681.074211,20,2486,2485.23,0.77,-3.00,0
1783510681.088944,20,2489,2485.23,3.77,3.00,0
1783510681.104465,20,2499,2485.23,13.77,10.00,0
1783510681.125658,20,2543,2485.23,57.77,44.00,0
1783510681.138557,20,2599,2485.23,113.77,56.00,0
1783510681.152495,20,2696,2485.23,210.77,97.00,0
1783510681.168796,20,2728,2485.23,242.77,32.00,0
1783510681.184756,20,2700,2485.23,214.77,-28.00,0
1783510681.205505,20,2600,2485.23,114.77,-100.00,0
1783510681.216587,20,2556,2485.23,70.77,-44.00,0
1783510681.232392,20,2541,2485.23,55.77,-15.00,0
1783510681.249012,20,2548,2485.23,62.77,7.00,0
1783510681.265012,20,2537,2485.23,51.77,-11.00,0
1783510681.284424,20,2529,2485.23,43.77,-8.00,0
1783510681.296862,20,2533,2485.23,47.77,4.00,0
1783510681.312810,20,2530,2485.23,44.77,-3.00,0
1783510681.328398,20,2528,2485.23,42.77,-2.00,0
1783510681.344613,20,2526,2485.23,40.77,-2.00,0
1783510681.364886,20,2530,2485.23,44.77,4.00,0
1783510681.376479,20,2522,2485.23,36.77,-8.00,0
1783510681.392681,20,2524,2485.23,38.77,2.00,0
1783510681.409032,20,2523,2485.23,37.77,-1.00,0
1783510681.424359,20,2515,2485.23,29.77,-8.00,0
1783510681.440667,20,2518,2485.23,32.77,3.00,0
1783510681.456951,20,2521,2485.23,35.77,3.00,0
1783510681.472656,20,2516,2485.23,30.77,-5.00,0
1783510681.488639,20,2521,2485.23,35.77,5.00,0
1783510681.505124,20,2520,2485.23,34.77,-1.00,0
